orthography	source	field	verdict	checked_by	note
trí	https://en.wiktionary.org/wiki/trí	oi_nom	ok	Claude, plan Task 3 (2026-08-27; Wiktionary raw wikitext, Wikipedia fetch, digest §10.6)	numeral: Old Irish form confirmed on the cited page
Tuathal	https://en.wikipedia.org/wiki/Tuathal_Techtmar	oi_nom	ok	Claude, plan Task 3 (2026-08-27; Wiktionary raw wikitext, Wikipedia fetch, digest §10.6)	Wikipedia article gives the Old Irish spelling as recorded; no declension — stem unattested
uasal	https://en.wiktionary.org/wiki/uasal	oi_nom,stem	ok	Claude, plan Task 3 (2026-08-27; Wiktionary raw wikitext, Wikipedia fetch, digest §10.6)	adjective: Old Irish form confirmed on the cited page (lemma or Irish etymology line); blank stem/gender explained by note
Éadaoin	https://en.wiktionary.org/wiki/%C3%89adaoin	oi_nom	ok	Claude, plan Task 3 (2026-08-27; Wiktionary raw wikitext, Wikipedia fetch, digest §10.6)	Irish etymology: from Old Irish Étaín; the Étaín page has no Old Irish section — stem unattested
éadrom	https://en.wiktionary.org/wiki/éadrom	oi_nom,stem	ok	Claude, plan Task 3 (2026-08-27; Wiktionary raw wikitext, Wikipedia fetch, digest §10.6)	adjective: Old Irish form confirmed on the cited page (lemma or Irish etymology line); blank stem/gender explained by note
Éimhear	https://en.wiktionary.org/wiki/Emer	oi_nom	ok	Claude, plan Task 3 (2026-08-27; Wiktionary raw wikitext, Wikipedia fetch, digest §10.6)	the Emer page has no Old Irish section; row rests on the modern entry — stem unattested
Íde	https://en.wikipedia.org/wiki/Ite_of_Killeedy	oi_nom	ok	Claude, plan Task 3 (2026-08-27; Wiktionary raw wikitext, Wikipedia fetch, digest §10.6)	Wikipedia article gives the Old Irish spelling as recorded; no declension — stem unattested
óg	https://en.wiktionary.org/wiki/óg	oi_nom,stem	ok	Claude, plan Task 3 (2026-08-27; Wiktionary raw wikitext, Wikipedia fetch, digest §10.6)	adjective: Old Irish form confirmed on the cited page (lemma or Irish etymology line); blank stem/gender explained by note
adharc	https://en.wiktionary.org/wiki/adarc#Old_Irish ; https://en.wiktionary.org/wiki/adharc	oi_gen	ok	Claude, plan Task 3 (2026-08-27; Wiktionary raw wikitext, Wikipedia fetch, digest §10.6)	R29 re-check: Old Irish table gives gen sg adarcae (dat/acc adairc) — the bare -ae genitive is the page's
fearg	https://en.wiktionary.org/wiki/ferg#Old_Irish ; https://en.wiktionary.org/wiki/fearg	oi_gen	ok	Claude, plan Task 3 (2026-08-27; Wiktionary raw wikitext, Wikipedia fetch, digest §10.6)	R29 re-check: Old Irish table gives gen sg fergae (dat/acc feirg) — matches
long	https://en.wiktionary.org/wiki/long#Old_Irish	oi_gen	ok	Claude, plan Task 3 (2026-08-27; Wiktionary raw wikitext, Wikipedia fetch, digest §10.6)	R29 re-check: {{sga-decl-a-fem|loing|gen_sg=lungae}} — matches
Dubhthach	https://en.wiktionary.org/wiki/Dubthach#Old_Irish	oi_nom,oi_gen,stem,gender	ok	Claude, plan Task 3 (2026-08-27; Wiktionary raw wikitext, Wikipedia fetch, digest §10.6)	new row: Old Irish entry m, o-stem, gen Dubthaig
leath	https://en.wiktionary.org/wiki/leth#Old_Irish	oi_nom,oi_gen,stem,gender	ok	Claude, plan Task 3 (2026-08-27; Wiktionary raw wikitext, Wikipedia fetch, digest §10.6)	new row: Old Irish leth n, o-stem (gen leith) and s-stem (gen leithe) tables; s chosen for Dub dá Leithe
Neasa	digest §10.6 ; https://en.wikipedia.org/wiki/Ness_(Irish_mythology)	oi_nom,oi_gen,stem	ok	Claude, plan Task 3 (2026-08-27; Wiktionary raw wikitext, Wikipedia fetch, digest §10.6)	digest §10.6 prints Nes(s)a and the formation Conchobar mac Nessa; Wikipedia gives Old Irish Ness/Nessa — gen Nessa and stem ā filled (class not stated by a source; see row note)
ua	https://en.wiktionary.org/wiki/aue#Old_Irish ; https://en.wiktionary.org/wiki/ua	oi_nom,oi_gen,stem,gender,source	fixed	Claude, plan Task 3 (2026-08-27; Wiktionary raw wikitext, Wikipedia fetch, digest §10.6)	the cited modern page derives ua from Old Irish aue; aue is a masculine io-stem, gen aui (alt ui) — oi_nom corrected from the modern form ua to aue, genitive/stem/gender filled
Laoghaire	digest §10.6 ; https://en.wiktionary.org/wiki/L%C3%B3egaire#Old_Irish	oi_nom,oi_gen,stem,gender	ok	Claude, plan Task 3 (2026-08-27; Wiktionary raw wikitext, Wikipedia fetch, digest §10.6)	Old Irish entry exists: m, io-stem, genitive Lóegaire — genitive and stem filled
Gaeilge	digest §10.6 ; https://en.wiktionary.org/wiki/Go%C3%ADdelc#Old_Irish	oi_nom,oi_gen,stem,gender	ok	Claude, plan Task 3 (2026-08-27; Wiktionary raw wikitext, Wikipedia fetch, digest §10.6)	Old Irish entry exists: f, ā-stem declension on Goídilc- — gen Goídilce, stem, gender filled
Ulaidh	digest §10.6 ; https://en.wiktionary.org/wiki/Ulaid#Old_Irish	oi_nom,oi_gen,stem,gender	ok	Claude, plan Task 3 (2026-08-27; Wiktionary raw wikitext, Wikipedia fetch, digest §10.6)	Old Irish entry: proper noun m-p, o-stem plural; gen pl Ulad — stem and gender filled
Liadain	digest §10.6 ; https://en.wiktionary.org/wiki/L%C3%ADadain#Old_Irish	oi_nom,oi_gen,stem,gender	ok	Claude, plan Task 3 (2026-08-27; Wiktionary raw wikitext, Wikipedia fetch, digest §10.6)	Old Irish entry: f, genitive Líadaine, ī-stem (sga-decl-ih) — stem ā filled
Eoin	https://en.wiktionary.org/wiki/Eoin ; https://en.wiktionary.org/wiki/Iohain	oi_nom,oi_gen,stem,gender	ok	Claude, plan Task 3 (2026-08-27; Wiktionary raw wikitext, Wikipedia fetch, digest §10.6)	Iohain: sga-decl-indecl, m — indecl
fiacail	https://en.wiktionary.org/wiki/f%C3%ADacail#Old_Irish	gender	ok	Claude, plan Task 3 (2026-08-27; Wiktionary raw wikitext, Wikipedia fetch, digest §10.6)	headword m (alternatively f) — gender m filled
